Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Black Lime D (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.034,0.015,0.001,0.001,0.001,0.001,0.061,0.004,0.009,0.058,0.056,1.905,0.0,0.163,0.46,,0.394,0.463,0.001,0.0,,1.4,0.07,14.39,0.05,0.0,0.05,0.0,0.01,0.0,1.04,0.07,0.04,
,Mendo Breath (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.009,0.017,0.0,0.002,0.002,0.0,0.139,0.001,0.01,0.11,0.295,0.036,0.0,0.982,0.344,,0.071,0.433,0.001,0.0,,0.9,0.02,19.5,0.02,0.0,0.08,0.0,0.0,0.0,0.21,0.06,0.06,
,Candy x Mandala #1 (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.011,0.022,0.003,0.001,0.005,0.0,0.029,0.003,0.006,0.045,0.53,0.038,0.0,1.12,0.446,,0.068,0.394,0.0,0.0,,0.62,0.04,20.89,0.01,0.0,0.09,0.0,0.0,0.0,0.79,0.09,0.08,
,Angelica (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.009,0.009,0.002,0.002,0.002,0.0,0.107,0.002,0.011,0.048,0.096,0.038,0.0,0.311,0.939,,0.065,0.42,0.001,0.0,,0.88,0.05,21.43,0.01,0.0,0.07,0.0,0.0,0.0,1.77,0.08,0.04,
,Sherbert (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.005,0.033,0.001,0.006,0.003,0.0,0.148,0.003,0.005,0.09,0.482,0.019,0.0,1.129,0.217,,0.035,0.234,0.0,0.0,,0.83,0.03,20.46,0.02,0.0,0.06,0.0,0.0,0.0,0.54,0.11,0.05,
,White Shark (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.003,0.017,0.002,0.009,0.007,0.0,0.029,0.0,0.0,0.073,0.272,0.01,0.0,0.657,0.299,,0.018,0.116,0.0,0.0,,0.72,0.02,13.61,0.02,0.0,0.05,0.0,0.0,0.0,0.28,0.05,0.01,
,Pineapple (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.008,0.022,0.012,0.001,0.004,0.0,0.08,0.045,0.004,0.009,0.307,0.046,0.0,0.693,0.305,,0.06,0.335,0.0,0.0,,0.7,0.01,16.86,0.02,0.0,0.06,0.0,0.0,0.0,0.24,0.05,0.0,
,Girl Scout Gum (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.005,0.003,0.0,0.004,0.046,0.0,0.014,0.0,0.0,0.015,0.081,0.02,0.0,0.271,1.811,,0.046,0.235,0.0,0.0,,1.1,0.0,16.15,0.02,0.0,0.06,0.0,0.0,0.0,0.4,0.08,0.03,
,Death Star (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.005,0.02,0.0,0.006,0.11,0.0,0.071,0.0,0.002,0.089,0.329,0.016,0.0,0.777,0.13,,0.03,0.217,0.0,0.0,,0.8,0.0,15.48,0.05,0.0,0.07,0.0,0.0,0.0,0.26,0.06,0.0,
,Hollyweed (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.009,0.014,0.0,0.0,0.003,0.0,0.233,0.0,0.009,0.09,0.221,0.038,0.0,0.722,0.875,,0.072,0.476,0.0,0.0,,0.91,0.01,25.48,0.03,0.0,0.07,0.0,0.0,0.0,0.87,0.13,0.01,
