Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Kaotic - Sarah Larson,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.003,0.014,0.0,0.002,0.0,0.0,0.046,0.027,0.014,0.052,0.135,0.104,0.0,0.318,0.293,,0.06,0.085,0.0,0.0,,1.42,0.0,19.02,0.0,0.0,0.04,0.0,0.0,0.0,0.44,0.08,0.02,
,Primo Cherry - Molecular Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.007,0.005,0.0,0.0,0.0,0.0,0.042,0.024,0.023,0.012,0.021,0.337,0.0,0.05,0.317,,0.152,0.126,0.0,0.0,,0.49,0.0,15.92,0.0,0.0,7.5,0.05,0.0,0.03,0.26,0.09,0.01,
,Venom OG - Bon Vivant,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.008,0.009,0.0,0.006,0.0,0.0,0.056,0.034,0.089,0.013,0.065,0.054,0.0,0.21,0.096,,0.063,0.165,0.0,0.0,,0.34,0.0,16.58,0.0,0.0,0.02,0.0,0.0,0.0,0.17,0.09,0.0,
,Merlot - Ben Blake,"Flower, Inhalable",2018-11-24,,736,,,,,,0.012,0.0,0.005,0.0,0.001,0.017,0.0,0.008,0.11,0.351,0.04,0.06,0.032,0.008,0.185,0.232,,0.053,0.159,0.005,0.0,,0.95,0.0,23.48,0.0,0.0,0.05,0.0,0.0,0.0,1.08,0.12,0.02,
,Lemon Crush - Molecular Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.01,0.007,0.0,0.003,0.0,0.0,0.124,0.06,0.078,0.002,0.156,0.054,0.0,0.383,0.105,,0.069,0.279,0.0,0.0,,0.32,0.0,19.7,0.0,0.0,0.03,0.0,0.0,0.0,0.86,0.06,,
,Strawberry Jelly - Brady Ranch,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.013,0.016,0.0,0.0,0.074,0.0,0.012,0.074,0.03,0.054,0.135,0.112,0.0,0.46,0.144,,0.106,0.542,0.0,0.0,,0.45,0.0,27.1,0.0,0.0,0.05,0.0,0.0,0.0,2.11,0.09,0.0,
,Double OG Chem #5 / Dan Pomerantz,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.011,0.019,0.0,0.005,0.0,0.0,0.108,0.019,0.047,0.097,0.163,0.042,0.0,0.374,0.203,,0.08,0.408,0.0,0.0,,0.42,0.0,25.29,0.0,0.0,0.04,0.0,0.0,0.0,0.69,0.15,,
,Bliss / Ken Rutledge,"Flower, Inhalable",2018-11-24,,736,,,,,,0.007,0.002,0.017,0.003,0.001,0.0,0.0,0.024,0.045,0.174,0.028,0.071,0.027,0.0,0.239,0.09,,0.043,0.135,0.003,0.0,,0.69,0.0,16.72,0.0,0.04,0.03,0.0,0.0,0.0,0.35,0.02,0.01,
,Dante's Five / Mitch Andrejich,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.004,0.008,0.002,0.001,0.0,0.0,0.102,0.019,0.069,0.001,0.146,0.019,0.0,0.493,0.178,,0.037,0.218,0.0,0.0,,0.94,0.0,21.59,0.0,0.0,0.03,0.0,0.0,0.0,0.96,0.08,0.02,
,Rolls Choice/ Nathan Frank,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.004,0.03,0.0,0.005,0.0,0.0,0.156,0.0,0.002,0.067,0.26,0.014,0.0,0.62,0.118,,0.032,0.113,0.0,0.0,,1.3,0.0,22.31,0.0,0.0,0.04,0.0,0.0,0.0,0.36,0.09,0.03,
,Kosher Z #4 - Micah Rubinstien,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.003,0.013,0.0,0.004,0.0,0.0,0.096,0.0,0.0,0.13,0.298,0.012,0.0,0.812,0.089,,0.023,0.142,0.0,0.0,,1.91,0.0,17.03,0.0,0.0,0.03,0.0,0.0,0.0,0.89,0.11,0.03,
,Black Royal/ Chris Vaughn,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.008,0.034,0.0,0.001,0.0,0.0,0.03,0.0,0.0,0.227,0.227,0.031,0.0,0.785,0.165,,0.062,0.281,0.0,0.0,,0.45,0.0,26.85,0.0,0.0,0.05,0.0,0.0,0.0,1.03,0.09,0.0,
,Love Butter - Jack Bilbrey,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.006,0.012,0.005,0.0,0.0,0.0,0.213,0.0,0.002,0.071,0.227,0.024,0.0,0.535,0.079,,0.045,0.241,0.0,0.0,,0.42,0.0,20.51,0.0,0.0,0.03,0.0,0.0,0.0,0.42,0.04,0.0,
,DBL OG Chem #15/ Rebel Grown,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.013,0.016,0.0,0.0,0.0,0.0,0.207,0.0,0.005,0.116,0.187,0.047,0.0,0.43,0.127,,0.091,0.488,0.0,0.0,,0.6,0.0,24.83,0.0,0.0,0.05,0.0,0.0,0.0,0.79,0.1,0.0,
,Garlic Jam - Molecular Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.003,0.024,0.0,0.006,0.0,0.0,0.104,0.003,0.009,0.03,0.34,0.016,0.0,0.793,0.083,,0.028,0.152,0.0,0.0,,0.0,0.0,0.37,0.0,0.0,9.64,0.14,0.09,8.43,0.25,0.04,0.0,
,Lemonz #3 - Micah Rubinstien,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.002,0.015,0.0,0.0,0.0,0.0,0.106,0.003,0.005,0.107,0.369,0.011,0.0,0.869,0.092,,0.02,0.143,0.0,0.0,,1.98,0.0,16.0,0.0,0.0,0.03,0.0,0.0,0.0,1.02,0.1,0.04,
,Velvet Purps - Sun Roots Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.005,0.012,0.0,0.0,0.0,0.0,0.046,0.026,0.024,0.19,0.113,0.036,0.0,0.369,0.202,,0.049,0.188,0.0,0.0,,0.39,0.0,17.4,0.0,0.0,0.03,0.0,0.0,0.0,0.16,0.05,0.0,
,Lemon Royale #2 - Craig Nejedly,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.009,0.044,0.0,0.0,0.0,0.0,0.238,0.003,0.007,0.15,0.294,0.033,0.0,0.679,0.091,,0.063,0.375,0.0,0.0,,0.58,0.0,23.47,0.0,0.0,0.03,0.0,0.0,0.01,0.79,0.1,0.0,
,LEM OG - Micah Rubinstien,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.006,0.011,0.0,0.004,0.085,0.0,0.041,0.0,0.003,0.129,0.167,0.023,0.0,0.521,0.277,,0.047,0.253,0.0,0.0,,0.57,0.0,22.34,0.0,0.0,0.04,0.0,0.0,0.0,1.35,0.17,0.0,
,Strawberry Banana - Kind Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.009,0.008,0.0,0.0,0.0,0.0,0.002,0.04,0.0,0.006,0.079,0.083,0.0,0.272,0.131,,0.078,0.356,0.0,0.0,,0.24,0.0,23.33,0.0,0.0,0.06,0.0,0.0,0.0,0.59,0.22,0.0,
,Kush Hemp/ Rasdee,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.002,0.025,0.006,0.002,0.048,0.0,0.065,0.0,0.0,0.149,0.084,0.009,0.0,0.255,0.043,,0.016,0.082,0.0,0.0,,0.0,0.0,0.54,0.0,0.0,14.85,0.16,0.0,0.03,0.22,0.04,0.0,
,Super Fruit - Wildland,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.0,0.008,0.0,0.0,0.022,0.0,0.067,0.027,0.0,0.095,0.125,0.002,0.0,0.422,0.622,,0.01,0.052,0.0,0.0,,0.33,0.0,22.77,0.0,0.0,0.05,0.0,0.0,0.0,0.5,0.13,0.0,
,Kong Mints - Ashton Korc,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.007,0.026,0.0,0.0,0.002,0.0,0.112,0.001,0.003,0.139,0.281,0.027,0.0,0.661,0.086,,0.052,0.282,0.0,0.0,,0.74,0.0,20.59,0.0,0.0,0.04,0.0,0.0,0.0,0.82,0.04,0.0,
,Carrot Cake - JD Lee,"Flower, Inhalable",2018-11-24,,736,,,,,,0.011,0.003,0.009,0.0,0.001,0.057,0.0,0.006,0.054,0.259,0.054,0.079,0.032,0.007,0.255,0.107,,0.046,0.097,0.006,0.0,,2.36,0.0,17.11,0.0,0.0,0.02,0.0,0.0,0.0,1.33,0.15,0.03,
,Lemon Head OG - Heady,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.01,0.012,0.0,0.005,0.0,0.0,0.196,0.011,0.047,0.132,0.23,0.036,0.0,0.698,0.34,,0.073,0.418,0.001,0.0,,0.93,0.0,27.81,0.0,0.0,0.06,0.0,0.0,0.0,0.9,0.12,0.02,
,HeretAge OG - Wildseed,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.0,0.015,0.0,0.0,0.017,0.0,0.112,0.0,0.0,0.006,0.115,0.0,0.0,0.521,1.191,,0.005,0.078,0.0,0.0,,0.96,0.0,95.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,Green Dream CBD- Wildseed,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.027,0.194,0.072,0.0,0.0,0.0,0.548,0.041,0.03,0.005,0.251,0.504,0.0,0.893,0.319,,0.383,0.595,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,92.2,0.22,0.0,0.0,0.0,0.0,
,Tar Hill Pink Lemonade- Field Extracts,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.012,0.061,0.0,0.024,0.0,0.0,0.384,0.0,0.0,0.201,0.532,0.059,0.0,1.613,0.397,,0.119,0.767,0.0,0.0,,0.63,0.0,78.22,0.0,0.0,0.09,0.0,0.0,0.0,2.05,0.4,0.0,
,Gargoyle Melonberry- Field Extracts,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.039,0.217,0.0,0.007,0.0,0.0,0.581,0.0,0.019,0.523,1.776,0.147,0.0,3.54,0.204,,0.293,1.605,0.0,0.0,,0.74,0.0,73.93,0.0,0.0,0.09,0.0,0.0,0.0,1.68,0.32,0.0,
,Hindu Zkittlez- Humboldt Terp Council,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.006,0.107,0.006,0.008,0.0,0.0,0.633,0.0,0.009,0.565,1.149,0.04,0.0,2.846,0.475,,0.082,0.677,0.0,0.0,,9.52,0.0,59.84,0.0,0.13,0.11,0.0,0.0,0.0,1.13,0.2,0.18,
,Cherry Royale Batter- Surprize Surprize,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.017,0.102,0.0,0.005,0.0,0.0,0.315,0.007,0.015,0.443,1.296,0.066,0.0,4.493,0.169,,0.134,1.124,0.0,0.0,,0.83,0.0,73.66,0.0,0.0,0.09,0.0,0.0,0.0,3.36,0.33,0.0,
,Tang- Field Extracts,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.019,0.095,0.0,0.043,0.0,0.0,0.561,0.0,0.0,0.295,0.585,0.071,0.0,1.316,0.023,,0.15,0.775,0.0,0.0,,0.83,0.0,73.9,0.0,0.0,0.06,0.0,0.0,0.0,2.1,0.46,0.0,
,Papaya- Field Extracts,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.019,0.019,0.0,0.01,0.519,0.0,0.611,0.002,0.008,0.081,0.105,0.065,0.0,0.309,0.264,,0.133,0.906,0.0,0.0,,0.71,0.0,80.07,0.0,0.0,0.11,0.0,0.0,0.0,1.09,0.53,0.0,
,Zkittlez- Fieldz,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.013,0.116,0.0,0.015,0.0,0.0,0.587,0.0,0.0,0.507,1.523,0.058,0.0,3.479,0.032,,0.112,0.797,0.0,0.0,,0.64,0.0,69.0,0.0,0.0,0.07,0.0,0.0,0.0,6.93,0.31,0.0,
,Limeade- Tar Hill,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.04,0.068,0.0,0.031,0.0,0.0,0.589,0.0,0.013,0.39,0.785,0.158,0.0,1.84,0.105,,0.3,1.855,0.0,0.0,,0.58,0.0,69.47,0.0,0.0,0.07,0.0,0.0,0.0,3.11,0.46,0.0,
,Brain Candy- Fieldz,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.051,0.045,0.0,0.007,0.0,0.0,0.229,0.107,0.031,0.332,0.534,0.479,0.0,1.367,0.11,,0.477,1.983,0.0,0.0,,0.79,0.0,74.15,0.0,0.0,0.09,0.0,0.0,0.0,2.43,0.34,0.0,
,Gargoyle Melonberry- Tar Hill,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.035,0.295,0.0,0.0,0.0,0.0,0.532,0.0,0.018,0.456,1.596,0.128,0.0,3.236,0.274,,0.251,1.783,0.0,0.0,,0.81,0.0,66.11,0.0,0.0,0.07,0.0,0.0,0.0,1.6,0.24,0.0,
,Pina Colada Rosin Jam - Tar Hill,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.021,0.111,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.092,0.728,0.093,0.0,2.383,0.662,,0.167,0.714,0.0,0.0,,9.24,0.0,70.87,0.0,0.0,0.12,0.0,0.0,0.0,1.45,0.21,0.05,
,Zkittlez- Surprize Surprize,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.01,0.127,0.0,0.045,0.0,0.0,0.858,0.0,0.012,0.412,1.809,0.042,0.0,4.127,0.068,,0.093,0.741,0.0,0.0,,1.07,0.0,67.21,0.0,0.0,0.06,0.0,0.0,0.0,2.5,0.21,0.0,
,Papaya Ice Hash- Field Extracts,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.009,0.026,0.0,0.018,0.579,0.0,0.554,0.0,0.01,0.129,0.144,0.045,0.0,0.413,0.066,,0.083,0.508,0.0,0.0,,0.58,0.0,73.8,0.0,0.0,0.07,0.0,0.0,0.0,1.39,0.61,0.0,
,Gin N' Juice- Humboldt Terp Council,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.0,0.092,0.0,0.0,0.216,0.0,0.322,0.082,0.0,0.39,0.725,0.104,0.0,2.331,1.394,,0.076,0.24,0.0,0.0,,4.78,0.0,74.18,0.0,0.0,0.08,0.0,0.0,0.0,2.07,0.26,0.05,
,Black Garlic-  Russell Daniels,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.025,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.138,0.362,0.118,0.0,1.169,1.028,,0.183,1.547,0.0,0.0,,7.25,0.0,75.23,0.0,0.0,0.08,0.0,0.0,0.0,2.7,0.51,0.0,
,Hindu Zkittlez- Fields,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.014,0.086,0.005,0.005,0.0,0.0,0.366,0.0,0.011,0.425,0.828,0.051,0.0,2.046,0.317,,0.101,0.552,0.0,0.0,,10.26,0.0,65.87,0.0,0.0,0.09,0.0,0.0,0.0,1.04,0.22,0.17,
,Peach Water- Fieldz,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.054,0.026,0.0,0.0,0.0,0.0,0.237,0.326,0.03,0.26,0.229,0.513,0.0,0.738,0.345,,0.392,1.908,0.0,0.0,,13.64,0.0,64.46,0.0,0.0,0.1,0.0,0.0,0.0,0.85,0.59,0.12,
,Tar Hill Kazhmir- Field Extracts,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.027,0.123,0.0,0.008,0.0,0.0,0.413,0.0,0.016,0.21,1.133,0.101,0.0,2.704,0.339,,0.214,1.336,0.0,0.0,,0.68,0.0,75.52,0.0,0.0,0.11,0.0,0.0,0.0,1.65,0.26,0.0,
,Cherry Tangerine- Surprize Surprize,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.032,0.099,0.0,0.0,0.145,0.0,0.535,0.463,0.029,0.18,1.017,0.283,0.0,2.646,3.787,,0.261,1.863,0.0,0.0,,0.93,0.0,64.32,0.0,0.0,0.11,0.0,0.0,0.0,3.65,0.46,0.0,
,Pink Lemonade- Tar Hill,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.017,0.048,0.0,0.023,0.0,0.0,0.459,0.0,0.0,0.259,0.705,0.081,0.0,2.12,0.59,,0.152,1.012,0.0,0.0,,0.65,0.0,76.11,0.0,0.0,0.12,0.0,0.0,0.0,1.67,0.42,0.0,
,Super Glue- Russell Daniels,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.032,0.032,0.0,0.024,0.0,0.0,0.16,0.0,0.015,0.242,0.546,0.113,0.0,1.698,0.429,,0.194,1.077,0.0,0.0,,9.15,0.0,68.37,0.0,0.0,0.09,0.0,0.0,0.0,1.37,0.12,0.04,
,Z Cake- Humboldt Terp Council,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.011,0.056,0.0,0.018,0.0,0.0,0.416,0.0,0.006,0.245,0.967,0.036,0.0,2.378,0.171,,0.074,0.468,0.0,0.0,,1.57,0.0,79.07,0.0,0.0,0.04,0.0,0.0,0.0,2.54,0.15,0.0,
,Mrs. Zkittlez Lemon Drop- Fieldz,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.021,0.076,0.0,0.022,0.235,0.0,0.421,0.0,0.012,0.226,0.325,0.087,0.0,0.996,0.261,,0.081,0.876,0.0,0.0,,8.86,0.0,64.57,0.0,0.0,0.09,0.0,0.0,0.0,3.18,0.42,0.0,
,Limeade- Field Extracts,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.014,0.104,0.0,0.024,0.0,0.0,0.498,0.0,0.011,0.351,0.672,0.058,0.0,1.471,0.029,,0.14,0.796,0.0,0.0,,0.83,0.0,73.67,0.0,0.0,0.06,0.0,0.0,0.0,2.6,0.45,0.0,
,Dragonfruit Jam- Tar Hill,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.026,0.105,0.0,0.052,0.0,0.0,0.495,0.0,0.01,0.262,0.867,0.105,0.0,1.828,0.074,,0.198,0.912,0.0,0.0,,0.81,0.0,69.9,0.0,0.0,0.09,0.0,0.0,0.0,1.76,0.37,0.0,
,Holy Nana Crack Batter- Surprize Surprize,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.027,0.035,0.0,0.009,0.04,0.0,0.139,0.058,0.022,0.072,0.289,0.161,0.0,0.749,0.278,,0.249,1.717,0.0,0.0,,0.77,0.0,76.05,0.0,0.0,0.1,0.0,0.0,0.0,2.59,0.23,0.0,
,Wedding Cake x Gelato 33- Honey Butter Rosin,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.013,0.066,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.129,0.541,0.054,0.0,1.609,0.108,,0.087,0.303,0.0,0.0,,7.49,0.0,67.53,0.0,0.0,0.08,0.0,0.0,0.0,6.32,0.3,0.09,
,Heritage OG CBD- Wildseed,"Concentrate, Inhalable",2018-11-24,,736,,,,,,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.025,0.0,0.0,0.092,0.022,,0.0,0.0,0.0,0.0,,0.0,0.0,0.03,0.0,0.0,0.0,98.06,0.22,0.0,0.0,0.0,0.0,
,Layer Cake #6 - Craig Nejedly,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.007,0.037,0.0,0.001,0.0,0.0,0.179,0.005,0.012,0.171,0.442,0.031,0.0,1.09,0.122,,0.057,0.367,0.0,0.0,,0.5,0.0,25.45,0.0,0.0,0.04,0.0,0.0,0.0,0.74,0.07,0.0,
,GreenShine - Michael Stuart,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.004,0.015,0.0,0.001,0.0,0.0,0.036,0.002,0.004,0.062,0.12,0.298,0.0,0.312,0.373,,0.147,0.115,0.0,0.0,,0.53,0.0,22.88,0.0,0.0,0.04,0.0,0.0,0.0,0.23,0.04,0.0,
,Payne's Flowers - Heady,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.014,0.012,0.0,0.001,0.091,0.0,0.112,0.005,0.008,0.07,0.141,0.05,0.0,0.485,0.157,,0.095,0.49,0.0,0.0,,0.44,0.0,23.38,0.0,0.0,0.03,0.0,0.0,0.0,1.0,0.17,0.0,
,Purple Punch x Clementine - Telos Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.01,0.019,0.0,0.002,0.062,0.0,0.095,0.061,0.013,0.017,0.126,0.096,0.0,0.427,0.123,,0.088,0.429,0.0,0.0,,0.32,0.0,26.55,0.0,0.0,0.04,0.0,0.0,0.0,2.63,0.14,0.0,
,Animal Crackers - Phytologie,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.009,0.012,0.0,0.0,0.0,0.0,0.058,0.004,0.007,0.023,0.199,0.034,0.0,0.707,0.162,,0.06,0.285,0.0,0.0,,0.62,0.0,28.48,0.0,0.0,0.05,0.0,0.0,0.0,1.83,0.3,,
,Triple Cream OG - TarHill,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.012,0.012,0.0,0.014,0.0,0.0,0.294,0.002,0.01,0.039,0.204,0.046,0.0,0.608,0.377,,0.091,0.54,0.0,0.0,,0.63,0.0,32.05,0.0,0.0,0.05,0.0,0.0,0.0,1.01,0.15,0.0,
,Long Valley Legend - Jeremiah Woodard,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.004,0.005,0.0,0.001,0.0,0.0,0.056,0.003,0.006,0.038,0.059,0.034,0.0,0.193,0.326,,0.042,0.202,0.0,0.0,,0.45,0.0,16.62,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.05,0.0,
,Tar Hill Kazhmir,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.007,0.023,0.0,0.006,0.0,0.0,0.16,0.004,0.012,0.059,0.38,0.028,0.0,0.925,0.293,,0.052,0.295,0.0,0.0,,0.36,0.0,23.36,0.0,0.0,0.04,0.0,0.0,0.0,0.76,0.08,0.0,
,Orange Cookies / Stanky Dank Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.005,0.004,0.0,0.002,0.046,0.0,0.088,0.005,0.01,0.035,0.03,0.149,0.0,0.097,0.534,,0.091,0.14,0.0,0.0,,1.42,0.0,23.74,0.0,0.0,0.04,0.0,0.0,0.0,0.81,0.08,0.02,
,Dragonfruit Jam - tar Hill,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.005,0.027,0.003,0.021,0.0,0.0,0.197,0.008,0.015,0.094,0.235,0.021,0.0,0.537,0.118,,0.038,0.222,0.0,0.0,,0.36,0.0,18.0,0.0,0.0,0.03,0.0,0.0,0.0,0.56,0.1,0.0,
,Banana Jam / Chris Vaughn,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.008,0.022,0.0,0.001,0.01,0.0,0.024,0.057,0.021,0.017,0.104,0.037,0.0,0.325,0.214,,0.061,0.322,0.0,0.0,,0.3,0.0,19.06,0.0,0.0,0.03,0.0,0.0,0.0,0.88,0.12,0.0,
,Double OG Sour / Dan Pomerantz,"Flower, Inhalable",2018-11-24,,736,,,,,,0.0,0.007,0.013,0.0,0.005,0.0,0.0,0.161,0.012,0.079,0.028,0.175,0.03,0.0,0.418,0.254,,0.057,0.299,0.001,0.0,,0.54,0.0,21.03,0.0,0.0,0.03,0.0,0.0,0.0,1.05,0.1,0.0,
,Orange Creamsicle / Ben Blake,"Flower, Inhalable",2018-11-24,,736,,,,,,0.017,0.0,0.015,0.006,0.006,0.0,0.0,0.014,0.013,0.412,0.04,0.105,0.049,0.008,0.329,0.299,,0.078,0.173,0.008,0.0,,0.75,0.0,25.32,0.0,0.0,0.04,0.0,0.0,0.0,1.12,0.12,0.0,
,Pineapple Wonder / Moonmade Farms,"Flower, Inhalable",2018-11-24,,736,,,,,,0.002,0.002,0.007,0.0,0.001,0.074,0.0,0.046,0.008,0.086,0.059,0.051,0.081,0.0,0.155,0.24,,0.05,0.07,0.001,0.0,,0.6,0.0,23.33,0.0,0.0,0.04,0.0,0.0,0.0,0.56,0.12,0.0,
,Infinity / Katie Jean,"Flower, Inhalable",2018-11-24,,736,,,,,,0.006,0.0,0.005,0.0,0.001,0.0,0.0,0.019,0.035,0.239,0.01,0.05,0.02,0.003,0.155,0.187,,0.023,0.078,0.003,0.0,,0.71,0.0,4.04,0.0,0.0,7.35,0.38,0.0,0.04,0.53,0.05,0.04,
,Orange Creamsicle / Nathan Franck,"Flower, Inhalable",2018-11-24,,736,,,,,,0.015,0.0,0.015,0.005,0.009,0.0,0.0,0.01,0.014,0.433,0.042,0.107,0.029,0.007,0.332,0.174,,0.056,0.117,0.008,0.001,,0.8,0.0,23.74,0.0,0.0,0.04,0.0,0.0,0.0,0.79,0.11,0.0,
,Heirloom Headband / J Kyle Carlson,"Flower, Inhalable",2018-11-24,,736,,,,,,0.002,0.006,0.01,0.0,0.0,0.0,0.0,0.064,0.006,0.135,0.116,0.256,0.026,0.001,0.635,0.178,,0.049,0.287,0.001,0.0,,0.45,0.0,23.49,0.0,0.0,0.04,0.0,0.0,0.0,0.91,0.09,0.0,
,Area 51 - Anna lewis connected,"Flower, Inhalable",2018-11-25,,736,,,,,,0.0,0.011,0.01,0.0,0.001,0.0,0.0,0.151,0.019,0.007,0.085,0.157,0.113,0.0,0.522,0.301,,0.093,0.366,0.0,0.0,,0.73,0.0,25.21,0.0,0.0,0.03,0.0,0.0,0.0,1.14,0.09,0.0,
,Larry Bird 2.0 - Anna Lewis,"Flower, Inhalable",2018-11-25,,736,,,,,,0.001,0.006,0.009,0.0,0.0,0.0,0.0,0.133,0.016,0.091,0.032,0.143,0.03,0.001,0.501,0.178,,0.049,0.287,0.001,0.0,,0.5,0.0,21.34,0.0,0.0,0.03,0.0,0.0,0.0,0.93,0.07,,
,Lime Juice 10 - Ben Blake,"Flower, Inhalable",2018-11-25,,736,,,,,,0.026,0.004,0.004,0.006,0.003,0.063,0.0,0.021,0.02,0.689,0.054,0.034,0.082,0.017,0.123,0.224,,0.119,0.243,0.01,0.0,,0.66,0.0,19.05,0.03,0.0,0.03,0.0,0.0,0.0,0.71,0.09,0.0,
,Kosher Z #1 - Micah Rubinstien,"Flower, Inhalable",2018-11-25,,736,,,,,,0.001,0.004,0.016,0.0,0.003,0.0,0.0,0.138,0.008,0.087,0.162,0.391,0.021,0.002,1.06,0.139,,0.037,0.249,0.001,0.0,,1.25,0.0,18.85,0.0,0.0,0.02,0.0,0.0,0.0,0.96,0.12,0.03,
,Forbidden Gushers - Anna Lewis,"Flower, Inhalable",2018-11-25,,736,,,,,,0.0,0.005,0.008,0.0,0.0,0.041,0.0,0.147,0.032,0.014,0.063,0.101,0.038,0.0,0.347,0.356,,0.049,0.26,0.0,0.0,,0.52,0.0,21.99,0.0,0.0,0.03,0.0,0.0,0.0,0.45,0.08,0.0,
